id,name,now_cost,position,team,yellow_cards,own_goals,influence_rank_type,direct_freekicks_order,selected_rank,form_rank,threat,cost_change_start,value_season,saves,transfers_out_event,expected_goals_per_90,ict_index_rank_type,in_dreamteam,selected_rank_type,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,expected_goal_involvements,transfers_out,form_rank_type,status,expected_goals,total_points,chance_of_playing_next_round,ict_index,clean_sheets,web_name,chance_of_playing_this_round,goals_conceded,points_per_game_rank,starts,goals_conceded_per_90,penalties_saved,expected_goals_conceded,influence_rank,expected_assists_per_90,region,news,expected_assists,bonus,ep_this,ep_next,news_added,minutes,starts_per_90,selected_by_percent,now_cost_rank_type,cost_change_event,points_per_game_rank_type,expected_goals_conceded_per_90,saves_per_90,cost_change_event_fall,dreamteam_count,event_points,threat_rank_type,transfers_in,goals_scored,threat_rank,can_select,penalties_missed,form,clean_sheets_per_90,assists,influence,ict_index_rank,creativity,penalties_order,creativity_rank_type,creativity_rank,points_per_game,bps,red_cards,cost_change_start_fall,value_form,now_cost_rank,transfers_in_event
595,Brajan Gruda,54,MID,Brighton,0,0,190,,594,350,18.0,-1,1.1,0,43,0.06,190,False,251,,0.15,0.13,3670,171,a,0.05,6,100.0,5.8,0,Gruda,100.0,4,441,0,4.44,0,2.27,408,0.09,80.0,,0.08,0,0.4,0.4,2024-11-30T01:00:08.395710Z,81,0.0,0.0,84,0,212,2.52,0.0,0,0,1,174,1164,0,315,True,0,0.4,0.0,0,16.2,388,24.0,,183,323,1.0,15,0,1,0.1,141,36
600,Yasin Ayari,50,MID,Brighton,2,0,100,,552,171,102.0,0,4.8,0,153,0.1,85,False,222,3.0,0.22,1.97,3879,85,a,0.87,24,100.0,46.6,4,Ayari,100.0,9,280,9,1.02,0,12.56,233,0.12,206.0,,1.10,0,2.0,2.0,2024-12-03T12:30:09.025260Z,795,1.02,0.0,144,0,129,1.42,0.0,0,0,2,97,4464,0,153,True,0,2.0,0.45,0,133.8,144,227.9,,54,67,1.8,124,0,0,0.4,227,89
601,Andrew Moran,50,MID,Brighton,0,0,310,,681,669,0.0,0,0.0,0,1,0.0,310,False,305,,0.0,0.00,511,302,u,0.00,0,0.0,0.0,0,Moran,0.0,0,685,0,0.0,0,0.00,685,0.0,,Loaned to Stoke City,0.00,0,0.0,0.0,2024-08-20T12:19:09.002604Z,0,0.0,0.0,145,0,310,0.0,0.0,0,0,0,308,24,0,678,False,0,0.0,0.0,0,0.0,685,0.0,,310,682,0.0,0,0,0,0.0,228,0
615,Carl Rushworth,40,GKP,Brighton,0,0,63,,519,449,0.0,0,0.0,0,46,0.0,63,False,65,,0.0,0.00,6939,57,u,0.00,0,0.0,0.0,0,Rushworth,0.0,0,526,0,0.0,0,0.00,522,0.0,,Loaned to Hull City,0.00,0,0.0,0.0,2024-08-31T06:28:38.039682Z,0,0.0,0.0,63,0,63,0.0,0.0,0,0,0,31,6698,0,462,False,0,0.0,0.0,0,0.0,524,0.0,,41,501,0.0,0,0,0,0.0,642,0
618,Georginio Rutter,55,MID,Brighton,2,0,78,,192,136,225.0,0,9.5,0,20137,0.25,68,False,57,,0.35,3.60,188378,69,a,2.60,52,100.0,53.8,4,Georginio,100.0,17,79,12,1.66,0,18.61,192,0.1,73.0,,1.00,1,2.4,2.4,2024-10-12T11:00:07.563830Z,923,1.17,1.2,73,-1,36,1.81,0.0,1,1,2,36,308615,2,59,True,0,2.4,0.39,4,167.0,115,156.0,,89,126,3.5,143,0,0,0.4,120,1855
628,Ferdi Kadioglu,45,DEF,Brighton,1,0,95,,357,543,40.0,0,4.2,0,2245,0.1,85,False,129,,0.17,0.75,58699,220,d,0.44,19,25.0,24.0,2,F.Kadıoğlu,25.0,8,93,5,1.87,0,9.44,254,0.07,219.0,Toe Injury - 25% chance of playing,0.31,0,0.0,0.0,2024-11-10T01:30:09.967684Z,385,1.17,0.2,71,0,23,2.21,0.0,0,0,0,77,73552,1,258,True,0,0.0,0.47,0,116.4,265,83.7,,50,205,3.2,59,0,0,0.0,380,40
629,Matt O'Riley,55,MID,Brighton,1,1,161,,478,320,49.0,0,2.0,0,1605,0.29,154,False,178,1.0,0.57,1.37,9251,160,d,0.69,11,75.0,16.5,0,O'Riley,100.0,6,228,2,2.49,0,3.75,340,0.28,58.0,Knock - 75% chance of playing,0.68,2,0.6,0.4,2024-12-16T09:30:07.550940Z,217,0.83,0.1,69,0,101,1.56,0.0,0,0,0,135,15406,1,245,True,0,0.6,0.0,0,53.6,308,62.2,,152,243,2.2,52,0,0,0.1,114,114
663,Imari Samuels,40,DEF,Brighton,0,0,184,,541,442,0.0,0,0.0,0,169,0.0,184,False,190,,0.0,0.00,2732,159,a,0.00,0,,0.0,0,Samuels,,0,519,0,0.0,0,0.00,515,0.0,241.0,,0.00,0,0.0,0.0,,0,0.0,0.0,181,0,181,0.0,0.0,0,0,0,164,4467,0,455,True,0,0.0,0.0,0,0.0,517,0.0,,180,494,0.0,0,0,0,0.0,634,115
668,Killian Cahill,39,GKP,Brighton,0,0,43,,177,406,0.0,-1,0.0,0,3257,0.0,43,False,24,,0.0,0.00,25314,36,a,0.00,0,,0.0,0,Cahill,,0,490,0,0.0,0,0.00,485,0.0,104.0,,0.00,0,0.0,0.0,,0,0.0,1.4,72,0,43,0.0,0.0,0,0,0,8,158235,0,419,True,0,0.0,0.0,0,0.0,487,0.0,,18,461,0.0,0,0,1,0.0,698,3717
681,Ruairi McConville,40,DEF,Brighton,0,0,196,,647,463,0.0,0,0.0,0,68,0.0,196,False,219,,0.0,0.00,241,173,a,0.00,0,,0.0,0,McConville,,0,539,0,0.0,0,0.00,534,0.0,242.0,,0.00,0,0.0,0.0,,0,0.0,0.0,201,0,194,0.0,0.0,0,0,0,181,608,0,479,True,0,0.0,0.0,0,0.0,536,0.0,,194,515,0.0,0,0,0,0.0,661,79
685,Jacob Slater,40,DEF,Brighton,0,0,206,,652,474,0.0,0,0.0,0,59,0.0,206,False,222,,0.0,0.00,178,184,a,0.00,0,,0.0,0,Slater,,0,550,0,0.0,0,0.00,544,0.0,241.0,,0.00,0,0.0,0.0,,0,0.0,0.0,212,0,205,0.0,0.0,0,0,0,192,485,0,490,True,0,0.0,0.0,0,0.0,546,0.0,,204,525,0.0,0,0,0,0.0,672,87
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0,0,273,,679,591,0.0,0,0.0,0,0,0.0,275,False,303,,0.0,0.00,593,244,u,0.00,0,0.0,0.0,0,Andrey Santos,0.0,0,638,0,0.0,0,0.00,631,0.0,,Has joined Strasbourg on a season-long loan,0.00,0,0.0,0.0,2024-08-05T10:16:34.176364Z,0,0.0,0.0,275,0,277,0.0,0.0,0,0,0,271,0,0,613,False,0,0.0,0.0,0,0.0,633,0.0,,277,629,0.0,0,0,0,0.0,446,0
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0,0,266,,423,582,0.0,0,0.0,0,245,0.0,268,False,149,,0.0,0.00,28078,237,u,0.00,0,0.0,0.0,0,Ângelo,0.0,0,630,0,0.0,0,0.00,623,0.0,,Transferred to Al-Nassr,0.00,0,0.0,0.0,2024-09-05T10:38:18.297070Z,0,0.0,0.1,268,0,270,0.0,0.0,0,0,0,264,5940,0,605,False,0,0.0,0.0,0,0.0,625,0.0,,270,621,0.0,0,0,0,0.0,437,0
153,Benoît Badiashile,43,DEF,Chelsea,0,0,121,,416,283,0.0,-2,1.2,0,933,0.0,130,False,150,,0.02,0.06,15501,83,d,0.00,5,75.0,5.7,0,B.Badiashile,,4,359,2,1.46,0,4.63,347,0.02,73.0,Knock - 75% chance of playing,0.06,0,1.3,1.0,2024-12-16T10:30:07.655172Z,247,0.73,0.1,134,0,116,1.69,0.0,0,0,0,208,11874,0,521,True,0,0.8,0.0,0,48.2,389,8.8,,123,381,1.2,22,0,2,0.2,560,310
154,Lucas Bergström,39,GKP,Chelsea,0,0,41,,335,403,0.0,-1,0.0,0,489,0.0,41,False,49,,0.0,0.00,16533,34,a,0.00,0,,0.0,0,Bergström,,0,488,0,0.0,0,0.00,482,0.0,72.0,,0.00,0,0.5,0.5,,0,0.0,0.2,70,-1,41,0.0,0.0,1,0,0,6,14005,0,415,True,0,0.0,0.0,0,0.0,484,0.0,,16,458,0.0,0,0,1,0.0,693,908
155,Marcus Bettinelli,39,GKP,Chelsea,0,0,37,,270,396,0.0,-1,0.0,0,1443,0.0,37,False,43,,0.0,0.00,19446,30,a,0.00,0,,0.0,0,Bettinelli,,0,481,0,0.0,0,0.00,476,0.0,241.0,,0.00,0,0.5,0.5,,0,0.0,0.4,66,0,37,0.0,0.0,0,0,0,2,24956,0,407,True,0,0.0,0.0,0,0.0,478,0.0,,12,451,0.0,0,0,1,0.0,682,1304
157,Moisés Caicedo Corozo,49,MID,Chelsea,3,0,16,,176,106,54.0,-1,10.0,0,7995,0.02,50,False,49,,0.11,1.83,166751,52,a,0.39,49,,66.5,4,Caicedo,,18,114,16,1.14,0,21.92,53,0.09,62.0,,1.44,2,3.3,3.3,,1415,1.02,1.4,182,0,48,1.39,0.0,0,0,2,128,222166,1,231,True,0,2.8,0.25,3,322.0,76,288.2,,37,47,3.1,294,0,1,0.6,276,5441
158,Cesare Casadei,44,MID,Chelsea,0,0,230,,413,526,0.0,-1,0.0,0,668,0.0,232,False,145,,0.0,0.00,22543,197,a,0.00,0,,0.0,0,Casadei,,0,579,0,0.0,0,0.00,572,0.0,106.0,,0.00,0,0.5,0.5,,0,0.0,0.1,308,0,234,0.0,0.0,0,0,0,225,20156,0,544,True,0,0.0,0.0,0,0.0,574,0.0,,234,567,0.0,0,0,1,0.0,522,339
160,Ben Chilwell,47,DEF,Chelsea,0,0,233,,260,620,0.0,-3,0.0,0,1661,0.0,233,False,95,,0.0,0.00,83449,225,a,0.00,0,,0.0,0,Chilwell,,0,661,0,0.0,0,0.00,656,0.0,241.0,,0.00,0,0.5,0.5,,0,0.0,0.5,42,0,233,0.0,0.0,0,0,0,230,32926,0,640,True,0,0.0,0.0,0,0.0,657,0.0,,233,653,0.0,0,0,3,0.0,330,1912
161,Carney Chukwuemeka,48,MID,Chelsea,0,0,297,,523,634,0.0,-2,0.0,0,110,0.0,297,False,204,,0.0,0.00,7263,275,a,0.00,0,100.0,0.0,0,Chukwuemeka,100.0,0,666,0,0.0,0,0.00,664,0.0,241.0,,0.00,0,0.5,0.5,2024-10-04T12:30:06.437566Z,0,0.0,0.0,208,0,298,0.0,0.0,0,0,0,294,4102,0,650,True,0,0.0,0.0,0,0.0,664,0.0,,298,659,0.0,0,0,2,0.0,318,52
162,Levi Colwill,46,DEF,Chelsea,3,0,31,,77,143,57.0,1,7.6,0,10527,0.03,51,False,27,,0.09,1.26,361410,37,a,0.38,35,100.0,41.0,3,Colwill,100.0,18,205,15,1.2,0,21.06,84,0.06,241.0,,0.88,1,2.7,2.7,2024-11-12T14:30:07.619476Z,1350,1.0,4.9,52,1,62,1.4,0.0,-1,0,2,65,784883,0,226,True,0,2.2,0.2,0,279.0,174,73.7,,57,221,2.3,168,0,-1,0.5,351,50540
163,Marc Cucurella Saseta,52,DEF,Chelsea,6,0,60,,59,32,60.0,2,8.1,0,74364,0.01,50,False,20,,0.1,1.39,748758,10,s,0.17,42,0.0,41.1,3,Cucurella,100.0,14,151,13,1.07,0,16.99,149,0.09,200.0,Suspended until 26 Dec,1.22,2,5.3,0.0,2024-12-16T09:30:06.586582Z,1175,1.0,6.9,19,1,41,1.3,0.0,-1,1,5,62,780643,1,221,True,0,4.8,0.23,2,214.8,173,136.3,,28,143,2.8,192,1,-2,0.9,162,48130
164,David Datro Fofana,54,FWD,Chelsea,0,0,72,,493,686,0.0,-1,0.0,0,36,0.0,72,False,65,,0.0,0.00,14890,71,u,0.00,0,0.0,0.0,0,D.D.Fofana,0.0,0,693,0,0.0,0,0.00,693,0.0,54.0,Transferred to AEK Athens,0.00,0,0.0,0.0,2024-09-11T14:26:52.770225Z,0,0.0,0.1,42,0,72,0.0,0.0,0,0,0,72,4727,0,690,False,0,0.0,0.0,0,0.0,693,0.0,,72,692,0.0,0,0,1,0.0,142,0
165,Deivid Washington de Souza Eugênio,49,FWD,Chelsea,0,0,66,,405,653,0.0,-1,0.0,0,415,0.0,66,False,60,,0.0,0.00,17336,63,a,0.00,0,,0.0,0,Deivid,,0,674,0,0.0,0,0.00,673,0.0,30.0,,0.00,0,0.5,0.5,,0,0.0,0.1,58,0,67,0.0,0.0,0,0,0,66,14217,0,663,True,0,0.0,0.0,0,0.0,673,0.0,,66,668,0.0,0,0,1,0.0,284,309
166,Kiernan Dewsbury-Hall,55,MID,Chelsea,0,0,205,,431,351,0.0,-5,0.9,0,227,0.0,207,False,155,,0.08,0.05,24555,172,a,0.00,5,,2.5,0,Dewsbury-Hall,,2,443,0,3.21,0,1.13,431,0.08,241.0,,0.05,0,0.9,0.9,,56,0.0,0.1,68,-1,214,1.82,0.0,1,0,0,314,6164,0,691,True,0,0.4,0.0,0,9.4,425,15.3,,197,347,1.0,15,0,5,0.1,113,124
167,Axel Disasi,42,DEF,Chelsea,0,0,114,,277,198,33.0,-3,3.6,0,2894,0.12,113,False,104,,0.13,0.27,54432,56,a,0.25,15,,9.9,1,Disasi,,1,18,2,0.49,0,3.46,330,0.01,73.0,,0.02,0,2.1,2.1,,184,0.98,0.4,152,0,1,1.69,0.0,0,0,0,82,47871,1,268,True,0,1.6,0.49,0,61.6,348,4.3,,135,397,5.0,54,0,3,0.4,584,2575
168,Enzo Fernández,51,MID,Chelsea,1,0,14,3.0,43,3,183.0,1,11.6,0,19357,0.15,23,False,10,3.0,0.35,4.13,246806,3,a,1.73,59,,88.8,2,Enzo,,14,51,11,1.19,0,14.42,47,0.2,10.0,,2.40,5,8.5,8.5,,1057,0.94,9.4,111,1,21,1.23,0.0,-1,1,5,51,1071040,3,84,True,0,8.0,0.17,4,333.6,33,369.6,4.0,20,24,3.9,284,0,-1,1.6,182,165162
169,Conor Gallagher,59,MID,Chelsea,0,0,316,,408,689,0.0,-1,0.0,0,61,0.0,316,False,141,,0.0,0.00,71930,313,u,0.00,0,0.0,0.0,0,Gallagher,0.0,0,695,0,0.0,0,0.00,695,0.0,,Transferred to Atletico Madrid,0.00,0,0.0,0.0,2024-08-22T11:20:34.236891Z,0,0.0,0.1,53,0,316,0.0,0.0,0,0,0,315,1567,0,694,False,0,0.0,0.0,0,0.0,695,0.0,,316,695,0.0,0,0,1,0.0,83,0
170,Alfie Gilchrist,40,DEF,Chelsea,0,0,191,,555,456,0.0,0,0.0,0,61,0.0,191,False,195,,0.0,0.00,6876,167,u,0.00,0,0.0,0.0,0,Gilchrist,0.0,0,533,0,0.0,0,0.00,528,0.0,,Has joined Sheffield United on a season-long,0.00,0,0.0,0.0,2024-08-09T11:15:16.064928Z,0,0.0,0.0,192,0,189,0.0,0.0,0,0,0,173,0,0,470,False,0,0.0,0.0,0,0.0,530,0.0,,187,507,0.0,0,0,0,0.0,651,0
171,Malo Gusto,49,DEF,Chelsea,2,0,68,,145,184,94.0,-1,4.1,0,5113,0.09,37,False,61,,0.18,1.96,371078,54,a,0.98,20,100.0,45.7,0,Gusto,100.0,15,318,11,1.41,0,15.33,174,0.09,73.0,,0.98,0,2.3,2.3,2024-11-13T09:30:07.704412Z,955,1.04,2.0,29,0,101,1.44,0.0,0,0,2,31,243330,0,167,True,0,1.8,0.0,1,185.2,146,177.5,,19,100,1.5,106,0,1,0.4,275,26680
172,Reece James,48,DEF,Chelsea,0,0,132,2.0,395,631,0.0,-2,1.0,0,1214,0.0,127,False,144,2.0,0.08,0.22,79005,228,i,0.00,5,0.0,6.2,0,James,0.0,4,364,3,1.5,0,5.78,368,0.08,241.0,Hamstring injury - Unknown return date,0.22,0,0.0,0.0,2024-11-21T14:00:08.020459Z,240,1.12,0.2,35,0,118,2.17,0.0,0,0,0,231,75917,0,646,True,0,0.0,0.0,0,38.2,381,23.2,,105,326,1.2,32,0,2,0.0,307,33
173,Omari Kellyman,44,MID,Chelsea,0,0,232,,577,528,0.0,-1,0.0,0,59,0.0,234,False,238,,0.0,0.00,5394,199,i,0.00,0,0.0,0.0,0,Kellyman,0.0,0,581,0,0.0,0,0.00,574,0.0,241.0,Hamstring injury - Unknown return date,0.00,0,0.0,0.0,2024-09-08T23:00:06.668188Z,0,0.0,0.0,311,0,236,0.0,0.0,0,0,0,227,2960,0,546,True,0,0.0,0.0,0,0.0,576,0.0,,236,569,0.0,0,0,1,0.0,525,23
174,Roméo Lavia,45,MID,Chelsea,3,0,133,,214,315,5.0,0,3.3,0,5919,0.03,147,False,63,,0.08,0.47,210332,157,a,0.18,15,100.0,18.8,1,Lavia,100.0,9,292,7,1.71,0,9.99,290,0.05,21.0,,0.29,0,1.1,1.1,2024-11-10T23:00:07.545590Z,475,1.33,0.9,264,0,133,1.89,0.0,0,0,0,199,185715,0,373,True,0,0.6,0.19,1,88.2,294,94.3,,121,190,1.7,81,0,0,0.1,433,1707
175,Romelu Lukaku Bolingoli,63,FWD,Chelsea,0,0,74,,366,692,0.0,-2,0.0,0,86,0.0,74,False,57,,0.0,0.00,60747,73,u,0.00,0,0.0,0.0,0,Lukaku,0.0,0,696,0,0.0,0,0.00,696,0.0,,Permanent transfer to Napoli,0.00,0,0.0,0.0,2024-08-30T10:21:53.872158Z,0,0.0,0.2,20,0,74,0.0,0.0,0,0,0,74,8049,0,695,False,0,0.0,0.0,0,0.0,696,0.0,,74,696,0.0,0,0,2,0.0,50,0
176,Malang Sarr,45,DEF,Chelsea,0,0,227,,683,540,0.0,0,0.0,0,2,0.0,227,False,231,,0.0,0.00,444,217,u,0.00,0,0.0,0.0,0,M.Sarr,0.0,0,592,0,0.0,0,0.00,585,0.0,,Permanent move to RC Lens,0.00,0,0.0,0.0,2024-07-29T09:46:25.583703Z,0,0.0,0.0,65,0,227,0.0,0.0,0,0,0,222,0,0,563,False,0,0.0,0.0,0,0.0,587,0.0,,227,582,0.0,0,0,0,0.0,373,0
177,Noni Madueke,63,MID,Chelsea,3,0,17,,58,24,611.0,-2,11.9,0,24877,0.44,10,False,17,,0.55,6.27,1740720,14,a,4.99,75,,116.8,3,Madueke,,14,20,13,1.23,0,16.97,54,0.11,241.0,,1.28,10,5.7,5.7,,1022,1.14,7.0,33,0,10,1.49,0.0,0,1,6,2,2277851,5,3,True,0,5.2,0.26,4,317.4,13,238.0,3.0,49,62,5.0,259,0,2,0.8,55,43027
178,Marc Guiu Paz,47,FWD,Chelsea,0,0,61,,255,624,0.0,-3,0.2,0,1877,0.0,61,False,43,,0.0,0.00,114613,58,a,0.00,1,,0.0,0,Marc Guiu,,1,422,0,3.75,0,0.11,658,0.0,200.0,,0.00,0,0.5,0.5,,24,0.0,0.5,62,0,43,0.41,0.0,0,0,0,61,79032,0,642,True,0,0.0,0.0,0,0.0,659,0.3,,49,439,1.0,2,0,3,0.0,340,2059
179,Mykhailo Mudryk,62,MID,Chelsea,0,0,180,,349,691,31.0,-3,1.1,0,538,0.15,176,False,117,,0.56,0.90,39815,314,s,0.24,7,0.0,8.5,0,Mudryk,50.0,2,445,1,1.24,0,3.28,386,0.41,225.0,Suspended - unknown return date,0.66,0,0.2,0.0,2024-12-06T15:30:07.786308Z,145,0.62,0.2,46,0,216,2.04,0.0,0,0,0,151,17783,0,275,True,0,0.0,0.0,0,23.2,357,31.5,,176,300,1.0,26,0,3,0.0,71,44
180,Nicolas Jackson,82,FWD,Chelsea,4,0,3,,8,21,585.0,7,10.9,0,47670,0.62,3,False,2,,0.66,8.76,1827335,3,a,8.20,89,,119.3,5,N.Jackson,,14,7,15,1.07,0,17.41,16,0.04,189.0,,0.56,15,6.3,6.3,,1182,1.14,29.1,4,0,2,1.33,0.0,0,2,9,2,4589082,9,5,True,0,5.8,0.38,4,422.2,10,184.8,,4,96,5.9,357,0,-7,0.7,12,170579
181,Christopher Nkunku,58,MID,Chelsea,1,0,108,,127,84,148.0,-7,5.5,0,8238,1.0,105,False,37,,1.08,3.51,1575874,43,a,3.25,32,,34.8,0,Nkunku,,5,243,2,1.54,0,6.70,251,0.08,73.0,,0.26,4,3.9,3.9,,292,0.62,2.4,56,0,110,2.07,0.0,0,1,1,68,270163,2,106,True,0,3.4,0.0,1,117.4,206,85.5,2.0,128,200,2.1,100,0,7,0.6,89,3158
182,Cole Palmer,112,MID,Chelsea,3,0,2,1.0,1,2,528.0,7,11.4,0,14361,0.64,2,True,1,1.0,0.9,13.90,2506037,2,a,9.82,128,100.0,178.3,3,Palmer,100.0,18,2,16,1.17,0,21.18,2,0.26,241.0,,4.08,20,9.3,9.3,2024-11-12T14:30:07.656076Z,1388,1.04,63.6,2,1,2,1.37,0.0,-1,5,3,5,5372468,11,8,True,0,8.8,0.19,7,650.0,2,603.4,1.0,2,2,8.0,542,0,-7,0.8,3,114699
183,Đorđe Petrović,44,GKP,Chelsea,0,0,71,,376,521,0.0,-1,0.0,0,241,0.0,71,False,54,,0.0,0.00,62160,71,u,0.00,0,0.0,0.0,0,Petrović,0.0,0,576,0,0.0,0,0.00,569,0.0,,Loaned to Strasbourg,0.00,0,0.0,0.0,2024-08-31T06:26:07.653045Z,0,0.0,0.2,24,0,71,0.0,0.0,0,0,0,53,2753,0,541,False,0,0.0,0.0,0,0.0,571,0.0,,61,564,0.0,0,0,1,0.0,516,0
184,Renato Palma Veiga,45,MID,Chelsea,2,0,175,,382,339,19.0,0,1.6,0,746,0.08,188,False,134,,0.16,0.31,36620,164,a,0.16,7,,5.9,1,Renato Veiga,,2,414,1,1.02,0,3.17,375,0.08,173.0,,0.15,0,0.9,0.9,,176,0.51,0.2,284,0,191,1.62,0.0,0,0,0,172,39361,0,311,True,0,0.4,0.51,0,30.4,386,9.2,,206,378,1.0,22,0,0,0.1,456,204
185,Robert Sánchez,48,GKP,Chelsea,4,0,5,,28,146,0.0,3,11.5,50,24220,0.0,6,False,3,,0.0,0.01,800272,13,a,0.00,55,,39.4,3,Sánchez,,18,69,15,1.2,1,21.32,22,0.0,200.0,,0.01,5,2.7,2.7,,1350,1.0,13.1,11,0,10,1.42,3.33,0,2,3,62,1837534,0,645,True,0,2.2,0.2,0,394.8,185,0.0,,66,656,3.7,207,0,-3,0.5,303,59333
187,Tosin Adarabioyo,42,DEF,Chelsea,1,0,111,,397,277,20.0,-3,2.6,0,364,0.08,112,False,145,,0.09,0.33,30239,78,a,0.30,11,,10.4,1,Tosin,,4,274,4,1.03,0,6.33,320,0.01,241.0,,0.03,0,1.3,1.3,,351,1.03,0.2,146,0,84,1.62,0.0,0,0,2,97,18151,0,306,True,0,0.8,0.26,0,67.8,345,15.1,,112,348,1.8,56,0,3,0.2,578,1527
189,Wesley Fofana,44,DEF,Chelsea,6,0,67,,308,312,29.0,-1,4.3,0,1434,0.04,75,False,116,,0.05,0.55,98106,95,i,0.40,19,0.0,28.7,1,W.Fofana,0.0,12,297,12,1.06,0,13.99,173,0.01,73.0,Hamstring injury - Expected back 04 Jan,0.15,2,0.0,0.0,2024-12-02T00:00:08.059563Z,1015,1.06,0.3,113,0,94,1.24,0.0,0,0,0,85,83293,0,277,True,0,0.6,0.09,0,187.2,239,70.0,,60,227,1.6,133,0,1,0.1,515,25
386,Jadon Sancho,62,MID,Chelsea,1,0,79,,174,63,138.0,-3,6.3,0,7647,0.1,75,False,48,,0.37,2.42,327722,31,a,0.67,39,100.0,50.5,1,Sancho,100.0,9,53,7,1.4,0,9.58,193,0.27,241.0,,1.75,2,4.5,4.5,2024-11-07T09:00:07.812014Z,578,1.09,1.4,40,0,22,1.49,0.0,0,0,2,75,405719,2,115,True,0,4.0,0.16,4,165.6,129,203.5,,69,88,3.9,165,0,3,0.6,63,13959
560,Pedro Lomba Neto,62,MID,Chelsea,5,0,83,,227,303,135.0,-3,4.7,0,5348,0.07,64,False,72,4.0,0.28,2.22,281069,155,a,0.53,29,100.0,54.7,1,Neto,0.0,8,230,7,0.99,0,11.27,204,0.21,173.0,,1.69,4,0.0,1.3,2024-12-09T09:30:06.764738Z,730,0.86,0.8,43,0,103,1.39,0.0,0,0,0,79,229422,1,120,True,0,0.8,0.12,2,158.4,110,253.5,,44,56,2.2,135,0,3,0.1,68,2271
575,Caleb Wiley,40,DEF,Chelsea,0,0,187,,604,450,0.0,0,0.0,0,27,0.0,187,False,204,,0.0,0.00,3556,162,u,0.00,0,0.0,0.0,0,Wiley,0.0,0,527,0,0.0,0,0.00,523,0.0,,Loaned to Strasbourg,0.00,0,0.0,0.0,2024-08-13T07:07:06.645739Z,0,0.0,0.0,186,0,184,0.0,0.0,0,0,0,167,0,0,463,False,0,0.0,0.0,0,0.0,525,0.0,,183,502,0.0,0,0,0,0.0,644,0
581,Filip Jørgensen,42,GKP,Chelsea,0,0,32,,362,307,0.0,-3,0.7,3,610,0.0,32,False,51,,0.0,0.00,28744,23,a,0.00,3,100.0,2.7,0,Jørgensen,100.0,1,119,1,1.0,0,1.56,379,0.0,58.0,,0.00,0,1.1,1.1,2024-11-21T08:30:09.544798Z,90,1.0,0.2,39,0,19,1.56,3.0,0,0,0,40,10951,0,507,True,0,0.6,0.0,0,26.6,418,0.0,,49,539,3.0,10,0,3,0.1,586,272
621,João Félix Sequeira,60,MID,Chelsea,2,0,140,,265,194,110.0,-5,3.0,0,1749,0.57,127,False,82,,0.66,2.15,151355,99,a,1.85,18,,26.2,1,João Félix,,2,256,2,0.61,0,4.31,302,0.09,173.0,,0.30,0,2.3,2.3,,293,0.61,0.5,52,0,116,1.32,0.0,0,0,0,93,156489,1,144,True,0,1.8,0.31,1,77.4,253,76.4,,138,219,2.0,71,0,5,0.3,80,684
695,Samuel Rak-Sakyi,45,MID,Chelsea,0,0,278,,701,596,0.0,0,0.0,0,0,0.0,280,False,319,,0.0,0.00,0,249,a,0.00,0,,0.0,0,Rak-Sakyi,,0,643,0,0.0,0,0.00,636,0.0,241.0,,0.00,0,1.7,1.7,,0,0.0,0.0,280,0,282,0.0,0.0,0,0,0,276,13,0,618,True,0,0.0,0.0,0,0.0,638,0.0,,282,634,0.0,0,0,0,0.0,451,13
696,Tyrique George,45,MID,Chelsea,0,0,281,,699,599,0.0,0,0.0,0,4,0.0,283,False,317,,0.0,0.00,4,252,a,0.00,0,,0.0,0,George,,0,646,0,0.0,0,0.00,639,0.0,241.0,,0.00,0,1.7,1.7,,0,0.0,0.0,283,0,285,0.0,0.0,0,0,0,279,37,0,621,True,0,0.0,0.0,0,0.0,641,0.0,,285,637,0.0,0,0,0,0.0,454,37
697,Josh Acheampong,40,DEF,Chelsea,0,0,202,,687,470,0.0,0,0.0,0,12,0.0,202,False,232,,0.0,0.00,12,180,a,0.00,0,,0.0,0,Acheampong,,0,546,0,0.0,0,0.00,540,0.0,241.0,,0.00,0,1.7,1.7,,0,0.0,0.0,208,0,201,0.0,0.0,0,0,0,188,149,0,486,True,0,0.0,0.0,0,0.0,542,0.0,,200,521,0.0,0,0,0,0.0,668,149
11,Eddie Nketiah,59,FWD,Crystal Palace,2,0,31,,271,256,175.0,-1,3.1,0,986,0.25,28,False,44,,0.33,1.95,169113,31,a,1.49,18,100.0,35.3,1,Nketiah,100.0,9,309,6,1.49,0,8.13,324,0.08,241.0,,0.46,0,1.2,0.2,2024-11-08T15:00:07.256448Z,545,0.99,0.4,23,0,36,1.34,0.0,0,0,4,28,159696,0,89,True,0,1.2,0.17,1,64.8,203,115.8,,20,168,1.6,75,0,1,0.2,82,1032
